case_no,player,team,games,minutes,x2P,x3P,TRB,AST,STL,BLK
155,Raymond Felton,OKC,82,1365,0.104761905,0.059340659,0.114285714,0.148717949,0.035897436,0.011721612
156,Bojan Bogdanovic,IND,80,2464,0.101055195,0.062905844,0.109577922,0.048295455,0.022321429,0.003246753
157,Emmanuel Mudiay,TOT,64,1245,0.126104418,0.037751004,0.122088353,0.165461847,0.032931727,0.008835341
158,Lance Stephenson,IND,82,1850,0.127567568,0.036216216,0.229189189,0.127027027,0.024864865,0.009189189
159,E'Twaun Moore,NOP,82,2586,0.114075793,0.049497293,0.092034029,0.072312452,0.030549111,0.004640371
160,Jayson Tatum,BOS,80,2438,0.119770304,0.043068089,0.164889253,0.052502051,0.034044299,0.023789992
161,Jarrett Allen,BRK,72,1441,0.158917418,0.003469813,0.26925746,0.034004164,0.019430951,0.061068702
162,Omri Casspi,GSW,53,740,0.148648649,0.013513514,0.27027027,0.068918919,0.024324324,0.025675676
163,Dewayne Dedmon,ATL,62,1542,0.129701686,0.032425422,0.317120623,0.058365759,0.025940337,0.03307393
164,Al Horford,BOS,72,2277,0.119016249,0.042599912,0.232762407,0.148880105,0.018884497,0.034255599
165,Kyle O'Quinn,NYK,77,1387,0.158615717,0.002883922,0.338860851,0.113914924,0.025955299,0.070656092
166,Thaddeus Young,IND,81,2607,0.139240506,0.022247794,0.196394323,0.058304565,0.051783659,0.013808976
167,Jeff Green,CLE,78,1828,0.13238512,0.028993435,0.134573304,0.054157549,0.022428884,0.018599562
168,Tony Allen,NOP,22,273,0.146520147,0.014652015,0.172161172,0.032967033,0.04029304,0.010989011
169,Henry Ellenson,DET,38,329,0.100303951,0.060790274,0.246200608,0.060790274,0.015197568,0
170,Kyle Lowry,TOR,78,2510,0.065737052,0.094820717,0.172908367,0.213944223,0.033864542,0.007569721
171,Alec Burks,UTA,64,1059,0.116147309,0.044381492,0.181303116,0.063267233,0.034938621,0.007554297
172,Ersan Ilyasova,TOT,69,1729,0.107576634,0.052631579,0.234239445,0.05205321,0.035280509,0.015037594
173,Kosta Koufos,SAC,71,1391,0.159597412,0,0.339324227,0.062544932,0.033788641,0.023005032
174,James Johnson,MIA,73,1943,0.129696346,0.029336078,0.184251158,0.144107051,0.036026763,0.02624807
175,Kent Bazemore,ATL,65,1789,0.098378983,0.060368921,0.13862493,0.1274455,0.055897149,0.025153717
176,Pau Gasol,SAS,77,1812,0.134657837,0.023730684,0.341611479,0.131346578,0.013245033,0.043598234
177,Bogdan Bogdanovic,SAC,78,2175,0.098850575,0.059310345,0.102528736,0.11862069,0.033103448,0.007356322
178,Jason Smith,WAS,33,285,0.143859649,0.014035088,0.185964912,0.049122807,0.010526316,0.045614035
179,Darren Collison,IND,69,2018,0.109018831,0.047571853,0.088206145,0.182358771,0.045589693,0.007433102
180,Chandler Parsons,MEM,36,691,0.082489146,0.073806078,0.13024602,0.099855282,0.026049204,0.015918958
181,Taj Gibson,MIN,82,2726,0.153338225,0.002567865,0.214233309,0.036316948,0.022743947,0.021643434
182,Dejounte Murray,SAS,81,1743,0.149741824,0.005163511,0.263339071,0.13253012,0.055651176,0.017785427
183,Brandan Wright,TOT,28,381,0.154855643,0,0.249343832,0.034120735,0.034120735,0.06824147
184,Manu Ginobili,SAS,65,1299,0.105465743,0.049268668,0.109314858,0.125481139,0.033102386,0.012317167
185,Joe Harris,BRK,78,1975,0.078481013,0.075949367,0.13164557,0.064810127,0.017721519,0.010126582
186,Reggie Bullock,DET,62,1732,0.081986143,0.072170901,0.08891455,0.054849885,0.027136259,0.007505774
187,DeAndre Jordan,LAC,77,2424,0.153877888,0,0.483085809,0.048267327,0.016089109,0.029290429
188,Shaquille Harrison,PHO,23,384,0.138020833,0.015625,0.158854167,0.143229167,0.067708333,0.018229167
189,Mason Plumlee,DEN,74,1439,0.153578874,0,0.277970813,0.098679639,0.034051425,0.05628909
190,Ricky Rubio,UTA,77,2254,0.110913931,0.042590949,0.155723159,0.181898846,0.053682343,0.004880213
191,Damion Lee,ATL,15,404,0.116336634,0.037128713,0.175742574,0.071782178,0.047029703,0.002475248
192,Alex Len,PHO,69,1395,0.152688172,0.000716846,0.371326165,0.058781362,0.019354839,0.043727599
193,Allen Crabbe,BRK,75,2197,0.061902594,0.091488393,0.147473828,0.053254438,0.021392808,0.015930815
194,Zaza Pachulia,GSW,69,972,0.153292181,0,0.330246914,0.112139918,0.03909465,0.017489712
195,Jeff Teague,MIN,70,2311,0.11683254,0.036347901,0.09043704,0.212894851,0.044136737,0.009519688
196,Trevor Booker,TOT,68,1158,0.145941278,0.006908463,0.274611399,0.070811744,0.02417962,0.018134715
197,Terry Rozier,BOS,80,2068,0.078820116,0.073984526,0.181818182,0.112185687,0.03868472,0.009187621
198,Fred VanVleet,TOR,76,1520,0.081578947,0.071052632,0.121052632,0.159868421,0.044736842,0.0125
199,Ian Clark,NOP,74,1455,0.109965636,0.042611684,0.087285223,0.075601375,0.022680412,0.006872852
200,Dwight Powell,DAL,79,1672,0.13576555,0.016746411,0.265550239,0.054425837,0.04007177,0.019138756
201,Michael Kidd-Gilchrist,CHO,74,1850,0.152432432,0,0.163243243,0.038378378,0.027567568,0.017297297
202,Shaun Livingston,GSW,71,1129,0.15234721,0,0.116031887,0.124003543,0.031000886,0.018600531
203,Danilo Gallinari,LAC,21,671,0.098360656,0.053651267,0.15052161,0.061102832,0.017883756,0.01490313
204,Rudy Gobert,UTA,56,1816,0.151982379,0,0.330947137,0.044052863,0.024229075,0.071035242
205,Damyean Dotson,NYK,44,474,0.105485232,0.046413502,0.17721519,0.065400844,0.025316456,0.004219409
206,Pascal Siakam,TOR,81,1679,0.133412746,0.017272186,0.216795712,0.094699226,0.036926742,0.02501489
207,Tyler Johnson,MIA,72,2052,0.092592593,0.057992203,0.1208577,0.080409357,0.029239766,0.016569201
208,Luke Kornet,NYK,20,326,0.064417178,0.085889571,0.196319018,0.079754601,0.018404908,0.049079755
209,Channing Frye,TOT,53,695,0.09352518,0.056115108,0.194244604,0.054676259,0.025899281,0.018705036
210,Cameron Payne,CHI,25,582,0.089347079,0.060137457,0.118556701,0.194158076,0.04467354,0.015463918
211,DeMarre Carroll,BRK,73,2180,0.082568807,0.066513761,0.219724771,0.067431193,0.02706422,0.013761468
212,Ivica Zubac,LAL,43,410,0.148780488,0,0.3,0.06097561,0.019512195,0.036585366
213,Courtney Lee,NYK,76,2310,0.0995671,0.048917749,0.096969697,0.077922078,0.034632035,0.007359307
214,Josh Richardson,MIA,81,2689,0.101152845,0.047229453,0.105987356,0.085905541,0.044998141,0.027891409
215,Davis Bertans,SAS,77,1086,0.061694291,0.086556169,0.140883978,0.068139963,0.023941068,0.025782689
216,Jerami Grant,OKC,81,1647,0.128718883,0.019429265,0.193685489,0.034608379,0.018822101,0.04675167
217,Tyler Dorsey,ATL,56,974,0.073921971,0.073921971,0.133470226,0.08110883,0.017453799,0.00513347
218,Thabo Sefolosha,UTA,38,806,0.106699752,0.039702233,0.199751861,0.040942928,0.064516129,0.014888337
219,Frank Mason,SAC,52,984,0.114837398,0.031504065,0.132113821,0.149390244,0.034552846,0.010162602
220,Langston Galloway,DET,58,863,0.059096176,0.086906141,0.106604867,0.067207416,0.040556199,0.005793743
221,John Henson,MIL,76,1970,0.145177665,0.000507614,0.260406091,0.05786802,0.02284264,0.055329949
222,Shabazz Napier,POR,74,1535,0.091856678,0.053420195,0.110749186,0.09771987,0.05276873,0.009120521
223,Sam Dekker,LAC,73,883,0.133635334,0.011325028,0.197055493,0.043035108,0.027180068,0.010192525
224,Timofey Mozgov,BRK,31,359,0.133704735,0.011142061,0.272980501,0.030640669,0.013927577,0.036211699
225,Dillon Brooks,MEM,82,2350,0.104680851,0.04,0.109361702,0.057446809,0.03106383,0.007234043
226,JaMychal Green,MEM,55,1542,0.116731518,0.027885863,0.300907912,0.051232166,0.02075227,0.016212711
227,Nick Young,GSW,80,1393,0.055994257,0.088298636,0.089734386,0.025843503,0.027279253,0.005025126
228,Ben McLemore,MEM,56,1091,0.093492209,0.050412466,0.127406049,0.046746104,0.034830431,0.013748854
229,Patrick Beverley,LAC,11,334,0.071856287,0.071856287,0.134730539,0.095808383,0.053892216,0.01497006
230,Denzel Valentine,CHI,77,2095,0.075417661,0.068257757,0.187589499,0.11646778,0.031026253,0.005250597
231,Jordan Bell,GSW,57,809,0.143386897,0,0.255871446,0.126081582,0.043263288,0.069221261
232,Joe Young,IND,53,558,0.098566308,0.044802867,0.112903226,0.069892473,0.025089606,0.001792115
233,Troy Daniels,PHO,79,1622,0.030209618,0.112823674,0.078298397,0.029593095,0.016029593,0.003082614
